+-------------------------------------------------+------------------+-------------------------------------------+---------------------------------------------------------------------------+-----+
| Registry name                                   |         Meta/dmg | Display name                              | Ore Dict Keys                                                             | NBT |
| advancedrocketry:productplate                   |                1 | Titanium Iridium Alloy Plate              | plateTitaniumIridium                                                      | -   |
| advancedrocketry:productrod                     |                0 | Titanium Aluminide Rod                    | stickTitaniumAluminide                                                    | -   |
| advancedrocketry:productrod                     |                1 | Titanium Iridium Alloy Rod                | stickTitaniumIridium                                                      | -   |
| advancedrocketry:productsheet                   |                0 | Titanium Aluminide Sheet                  | sheetTitaniumAluminide                                                    | -   |
| advancedrocketry:productsheet                   |                1 | Titanium Iridium Alloy Sheet              | sheetTitaniumIridium                                                      | -   |
| advancedrocketry:wafer                          |                0 | Silicon Wafer                             | waferSilicon                                                              | -   |
| animania:blue_peacock_feather                   |                0 | Blue Peacock Feather                      | feather                                                                   | -   |
| animania:brown_egg                              |                0 | Egg                                       | egg, listAllegg                                                           | -   |
| animania:cooked_angus_roast                     |                0 | Roast Beef (Angus)                        | foodMeats, listAllbeefcooked, listAllmeatcooked                           | -   |
| animania:cooked_angus_steak                     |                0 | Cooked Steak (Angus)                      | foodMeats, listAllbeefcooked, listAllmeatcooked                           | -   |
| animania:cooked_duroc_bacon                     |                0 | Bacon (Duroc)                             | foodMeats, listAllmeatcooked, listAllporkcooked                           | -   |
| animania:cooked_duroc_roast                     |                0 | Roast Pork (Duroc)                        | foodMeats, listAllmeatcooked, listAllporkcooked                           | -   |
| animania:cooked_frog_legs                       |                0 | Cooked Frog Legs                          | listAllmeatcooked                                                         | -   |
| animania:cooked_hampshire_bacon                 |                0 | Bacon (Hampshire)                         | foodMeats, listAllmeatcooked, listAllporkcooked                           | -   |
| animania:cooked_hampshire_roast                 |                0 | Roast Pork (Hampshire)                    | foodMeats, listAllmeatcooked, listAllporkcooked                           | -   |
| animania:cooked_hereford_roast                  |                0 | Roast Beef (Hereford)                     | foodMeats, listAllbeefcooked, listAllmeatcooked                           | -   |
| animania:cooked_hereford_steak                  |                0 | Cooked Steak (Hereford)                   | foodMeats, listAllbeefcooked, listAllmeatcooked                           | -   |
| animania:cooked_large_black_bacon               |                0 | Bacon (Large Black)                       | foodMeats, listAllmeatcooked, listAllporkcooked                           | -   |
| animania:cooked_large_black_roast               |                0 | Roast Pork (Large Black)                  | foodMeats, listAllmeatcooked, listAllporkcooked                           | -   |
| animania:cooked_longhorn_roast                  |                0 | Roast Beef (Longhorn)                     | foodMeats, listAllbeefcooked, listAllmeatcooked                           | -   |
| animania:cooked_longhorn_steak                  |                0 | Cooked Steak (Longhorn)                   | foodMeats, listAllbeefcooked, listAllmeatcooked                           | -   |
| animania:cooked_old_spot_bacon                  |                0 | Bacon (Old Spot)                          | foodMeats, listAllmeatcooked, listAllporkcooked                           | -   |
| animania:cooked_old_spot_roast                  |                0 | Roast Pork (Old Spot)                     | foodMeats, listAllmeatcooked, listAllporkcooked                           | -   |
| animania:cooked_orpington_chicken               |                0 | Roast Chicken (Orpington)                 | foodMeats, listAllchickencooked, listAllmeatcooked                        | -   |
| animania:cooked_plymouth_rock_chicken           |                0 | Roast Chicken (Plymouth Rock)             | foodMeats, listAllchickencooked, listAllmeatcooked                        | -   |
| animania:cooked_prime_bacon                     |                0 | Roast Prime Bacon                         | foodMeats, listAllporkcooked                                              | -   |
| animania:cooked_prime_beef                      |                0 | Roast Prime Beef                          | foodMeats, listAllbeefcooked, listAllmeatcooked                           | -   |
| animania:cooked_prime_chicken                   |                0 | Roast Prime Chicken                       | foodMeats, listAllchickencooked, listAllmeatcooked                        | -   |
| animania:cooked_prime_pork                      |                0 | Roast Prime Pork                          | foodMeats, listAllmeatcooked, listAllporkcooked                           | -   |
| animania:cooked_prime_steak                     |                0 | Roast Prime Steak                         | listAllbeefcooked                                                         | -   |
| animania:cooked_rhode_island_red_chicken        |                0 | Roast Chicken (Rhode Island Red)          | foodMeats, listAllchickencooked, listAllmeatcooked                        | -   |
| animania:cooked_wyandotte_chicken               |                0 | Roast Chicken (Wyandotte)                 | foodMeats, listAllchickencooked, listAllmeatcooked                        | -   |
| animania:friesian_bucket_milk                   |                0 | Bucket Milk (Friesian)                    | listBucketmilk                                                            | -   |
| animania:friesian_cheese_wedge                  |                0 | Cheese Wedge (Friesian)                   | foodCheese                                                                | -   |
| animania:holstein_bucket_milk                   |                0 | Bucket Milk (Holstein)                    | listBucketmilk                                                            | -   |
| animania:holstein_cheese_wedge                  |                0 | Cheese Wedge (Holstein)                   | foodCheese                                                                | -   |
| animania:raw_angus_beef                         |                0 | Raw Beef (Angus)                          | foodMeats, listAllbeefraw, listAllmeatraw                                 | -   |
| animania:raw_angus_steak                        |                0 | Raw Steak (Angus)                         | foodMeats, listAllbeefraw, listAllmeatraw                                 | -   |
| animania:raw_duroc_bacon                        |                0 | Raw Bacon (Duroc)                         | foodMeats, listAllmeatraw, listAllporkraw                                 | -   |
| animania:raw_duroc_pork                         |                0 | Raw Pork (Duroc)                          | foodMeats, listAllmeatraw, listAllporkraw                                 | -   |
| animania:raw_frog_legs                          |                0 | Raw Frog Legs                             | foodMeats, listAllmeatraw                                                 | -   |
| animania:raw_hampshire_bacon                    |                0 | Raw Bacon (Hampshire)                     | foodMeats, listAllmeatraw, listAllporkraw                                 | -   |
| animania:raw_hampshire_pork                     |                0 | Raw Pork (Hampshire)                      | foodMeats, listAllmeatraw, listAllporkraw                                 | -   |
| animania:raw_hereford_beef                      |                0 | Raw Beef (Hereford)                       | foodMeats, listAllbeefraw, listAllmeatraw                                 | -   |
| animania:raw_hereford_steak                     |                0 | Raw Steak (Hereford)                      | foodMeats, listAllbeefraw, listAllmeatraw                                 | -   |
| animania:raw_large_black_bacon                  |                0 | Raw Bacon (Large Black)                   | foodMeats, listAllmeatraw, listAllporkraw                                 | -   |
| animania:raw_large_black_pork                   |                0 | Raw Pork (Large Black)                    | foodMeats, listAllmeatraw, listAllporkraw                                 | -   |
| animania:raw_longhorn_beef                      |                0 | Raw Beef (Longhorn)                       | foodMeats, listAllbeefraw, listAllmeatraw                                 | -   |
| animania:raw_longhorn_steak                     |                0 | Raw Steak (Longhorn)                      | foodMeats, listAllbeefraw, listAllmeatraw                                 | -   |
| animania:raw_old_spot_bacon                     |                0 | Raw Bacon (Old Spot)                      | foodMeats, listAllmeatraw, listAllporkraw                                 | -   |
| animania:raw_old_spot_pork                      |                0 | Raw Pork (Old Spot)                       | foodMeats, listAllmeatraw, listAllporkraw                                 | -   |
| animania:raw_orpington_chicken                  |                0 | Raw Chicken (Orpington)                   | foodMeats, listAllchickenraw, listAllmeatraw                              | -   |
| animania:raw_plymouth_rock_chicken              |                0 | Raw Chicken (Plymouth Rock)               | foodMeats, listAllchickenraw, listAllmeatraw                              | -   |
| animania:raw_prime_bacon                        |                0 | Raw Prime Bacon                           | foodMeats, listAllporkraw                                                 | -   |
| animania:raw_prime_beef                         |                0 | Raw Prime Beef                            | foodMeats, listAllbeefraw, listAllmeatraw                                 | -   |
| animania:raw_prime_chicken                      |                0 | Raw Prime Chicken                         | foodMeats, listAllchickenraw, listAllmeatraw                              | -   |
| animania:raw_prime_pork                         |                0 | Raw Prime Pork                            | foodMeats, listAllmeatraw, listAllporkraw                                 | -   |
| animania:raw_prime_steak                        |                0 | Raw Prime Steak                           | listAllbeefraw                                                            | -   |
| animania:raw_rhode_island_red_chicken           |                0 | Raw Chicken (Rhode Island Red)            | foodMeats, listAllchickenraw, listAllmeatraw                              | -   |
| animania:raw_wyandotte_chicken                  |                0 | Raw Chicken (Wyandotte)                   | foodMeats, listAllchickenraw, listAllmeatraw                              | -   |
| animania:white_peacock_feather                  |                0 | White Peacock Feather                     | feather                                                                   | -   |
| arsmagica2:block                                |                0 | Vinteum Block                             | blockVinteum                                                              | -   |
| arsmagica2:block                                |                1 | Chimerite Block                           | blockChimerite                                                            | -   |
| arsmagica2:block                                |                2 | Blue Topaz Block                          | blockBlueTopaz                                                            | -   |
| arsmagica2:block                                |                3 | Moonstone Block                           | blockMoonstone                                                            | -   |
| arsmagica2:block                                |                4 | Sunstone Block                            | blockSunstone                                                             | -   |
| arsmagica2:item_ore                             |                0 | Vinteum Dust                              | dustVinteum                                                               | -   |
| arsmagica2:item_ore                             |                2 | Chimerite                                 | gemChimerite                                                              | -   |
| arsmagica2:item_ore                             |                3 | Moonstone                                 | gemMoonstone                                                              | -   |
| arsmagica2:item_ore                             |                4 | Sunstone                                  | gemSunstone                                                               | -   |
| arsmagica2:item_ore                             |                5 | Blue Topaz                                | gemBlueTopaz                                                              | -   |
| arsmagica2:item_ore                             |                6 | Arcane Ash                                | arcaneAsh                                                                 | -   |
| arsmagica2:ore                                  |                0 | Vinteum Ore                               | oreVinteum                                                                | -   |
| arsmagica2:ore                                  |                1 | Chimerite Ore                             | oreChimerite                                                              | -   |
| arsmagica2:ore                                  |                2 | Blue Topaz Ore                            | oreBlueTopaz                                                              | -   |
| arsmagica2:ore                                  |                3 | Moonstone Ore                             | oreMoonstone                                                              | -   |
| arsmagica2:ore                                  |                4 | Sunstone Ore                              | oreSunstone                                                               | -   |
| basemetals:adamantine_bars                      |                0 | Adamantine Bars                           | bars, barsAdamantine                                                      | -   |
| basemetals:adamantine_block                     |                0 | Adamantine Block                          | blockAdamantine                                                           | -   |
| basemetals:adamantine_door_item                 |                0 | Adamantine Door                           | door, doorAdamantine                                                      | -   |
| basemetals:adamantine_gear                      |                0 | Adamantine Gear                           | gear, gearAdamantine                                                      | -   |
| basemetals:adamantine_ingot                     |                0 | Adamantine Ingot                          | ingotAdamantine                                                           | -   |
| basemetals:adamantine_nugget                    |                0 | Adamantine Nugget                         | nuggetAdamantine                                                          | -   |
| basemetals:adamantine_ore                       |                0 | Adamantine Ore                            | oreAdamantine                                                             | -   |
| basemetals:adamantine_plate                     |                0 | Adamantine Plate                          | plateAdamantine                                                           | -   |
| basemetals:adamantine_powder                    |                0 | Powdered Adamantine                       | dustAdamantine                                                            | -   |
| basemetals:adamantine_rod                       |                0 | Adamantine Rod                            | rod, rodAdamantine, stickAdamantine                                       | -   |
| basemetals:adamantine_trapdoor                  |                0 | Adamantine Trapdoor                       | trapdoor, trapdoorAdamantine                                              | -   |
| basemetals:aquarium_bars                        |                0 | Aquarium Bars                             | bars, barsAquarium                                                        | -   |
| basemetals:aquarium_blend                       |                0 | Aquarium Blend                            | dustAquarium                                                              | -   |
| basemetals:aquarium_block                       |                0 | Aquarium Block                            | blockAquarium                                                             | -   |
| basemetals:aquarium_door_item                   |                0 | Aquarium Door                             | door, doorAquarium                                                        | -   |
| basemetals:aquarium_ingot                       |                0 | Aquarium Ingot                            | ingotAquarium                                                             | -   |
| basemetals:aquarium_nugget                      |                0 | Aquarium Nugget                           | nuggetAquarium                                                            | -   |
| basemetals:aquarium_plate                       |                0 | Aquarium Plate                            | plateAquarium                                                             | -   |
| basemetals:aquarium_powder                      |                0 | Powdered Aquarium                         | dustAquarium                                                              | -   |
| basemetals:aquarium_rod                         |                0 | Aquarium Rod                              | rod, rodAquarium, stickAquarium                                           | -   |
| basemetals:aquarium_trapdoor                    |                0 | Aquarium Trapdoor                         | trapdoor, trapdoorAquarium                                                | -   |
| basemetals:brass_bars                           |                0 | Brass Bars                                | bars, barsBrass                                                           | -   |
| basemetals:brass_blend                          |                0 | Brass Blend                               | dustBrass                                                                 | -   |
| basemetals:brass_block                          |                0 | Brass Block                               | blockBrass                                                                | -   |
| basemetals:brass_door_item                      |                0 | Brass Door                                | door, doorBrass                                                           | -   |
| basemetals:brass_ingot                          |                0 | Brass Ingot                               | ingotBrass                                                                | -   |
| basemetals:brass_nugget                         |                0 | Brass Nugget                              | nuggetBrass                                                               | -   |
| basemetals:brass_plate                          |                0 | Brass Plate                               | plateBrass                                                                | -   |
| basemetals:brass_powder                         |                0 | Powdered Brass                            | dustBrass                                                                 | -   |
| basemetals:brass_rod                            |                0 | Brass Rod                                 | rod, rodBrass, stickBrass                                                 | -   |
| basemetals:brass_trapdoor                       |                0 | Brass Trapdoor                            | trapdoor, trapdoorBrass                                                   | -   |
| basemetals:bronze_bars                          |                0 | Bronze Bars                               | bars, barsBronze                                                          | -   |
| basemetals:bronze_blend                         |                0 | Bronze Blend                              | dustBronze                                                                | -   |
| basemetals:bronze_block                         |                0 | Bronze Block                              | blockBronze                                                               | -   |
| basemetals:bronze_door_item                     |                0 | Bronze Door                               | door, doorBronze                                                          | -   |
| basemetals:bronze_gear                          |                0 | Bronze Gear                               | gear, gearBronze                                                          | -   |
| basemetals:bronze_ingot                         |                0 | Bronze Ingot                              | ingotBronze                                                               | -   |
| basemetals:bronze_nugget                        |                0 | Bronze Nugget                             | nuggetBronze                                                              | -   |
| basemetals:bronze_plate                         |                0 | Bronze Plate                              | plateBronze                                                               | -   |
| basemetals:bronze_powder                        |                0 | Powdered Bronze                           | dustBronze                                                                | -   |
| basemetals:bronze_rod                           |                0 | Bronze Rod                                | rod, rodBronze, stickBronze                                               | -   |
| basemetals:bronze_trapdoor                      |                0 | Bronze Trapdoor                           | trapdoor, trapdoorBronze                                                  | -   |
| basemetals:carbon_powder                        |                0 | Carbon Dust                               | dustCarbon, dustCoal                                                      | -   |
| basemetals:coldiron_bars                        |                0 | Cold-Iron Bars                            | bars, barsColdiron                                                        | -   |
| basemetals:coldiron_block                       |                0 | Cold-Iron Block                           | blockColdiron                                                             | -   |
| basemetals:coldiron_door_item                   |                0 | Cold-Iron Door                            | door, doorColdiron                                                        | -   |
| basemetals:coldiron_gear                        |                0 | Cold-Iron Gear                            | gear, gearColdiron                                                        | -   |
| basemetals:coldiron_ingot                       |                0 | Cold-Iron Ingot                           | ingotColdiron                                                             | -   |
| basemetals:coldiron_nugget                      |                0 | Cold-Iron Nugget                          | nuggetColdiron                                                            | -   |
| basemetals:coldiron_ore                         |                0 | Cold-Iron Ore                             | oreColdiron                                                               | -   |
| basemetals:coldiron_plate                       |                0 | Cold-Iron Plate                           | plateColdiron                                                             | -   |
| basemetals:coldiron_powder                      |                0 | Powdered Cold-Iron                        | dustColdiron                                                              | -   |
| basemetals:coldiron_rod                         |                0 | Cold-Iron Rod                             | rod, rodColdiron, stickColdiron                                           | -   |
| basemetals:coldiron_trapdoor                    |                0 | Cold-Iron Trapdoor                        | trapdoor, trapdoorColdiron                                                | -   |
| basemetals:copper_bars                          |                0 | Copper Bars                               | bars, barsCopper                                                          | -   |
| basemetals:copper_block                         |                0 | Copper Block                              | blockCopper                                                               | -   |
| basemetals:copper_door_item                     |                0 | Copper Door                               | door, doorCopper                                                          | -   |
| basemetals:copper_ingot                         |                0 | Copper Ingot                              | ingotCopper                                                               | -   |
| basemetals:copper_nugget                        |                0 | Copper Nugget                             | nuggetCopper                                                              | -   |
| basemetals:copper_ore                           |                0 | Copper Ore                                | oreCopper                                                                 | -   |
| basemetals:copper_plate                         |                0 | Copper Plate                              | plateCopper                                                               | -   |
| basemetals:copper_powder                        |                0 | Powdered Copper                           | dustCopper                                                                | -   |
| basemetals:copper_rod                           |                0 | Copper Rod                                | rod, rodCopper, stickCopper                                               | -   |
| basemetals:copper_trapdoor                      |                0 | Copper Trapdoor                           | trapdoor, trapdoorCopper                                                  | -   |
| basemetals:cupronickel_bars                     |                0 | Cupronickel Bars                          | bars, barsCupronickel                                                     | -   |
| basemetals:cupronickel_blend                    |                0 | Cupronickel Blend                         | dustCupronickel                                                           | -   |
| basemetals:cupronickel_block                    |                0 | Cupronickel Block                         | blockCupronickel                                                          | -   |
| basemetals:cupronickel_door_item                |                0 | Cupronickel Door                          | door, doorCupronickel                                                     | -   |
| basemetals:cupronickel_gear                     |                0 | Cupronickel Gear                          | gear, gearCupronickel                                                     | -   |
| basemetals:cupronickel_ingot                    |                0 | Cupronickel Ingot                         | ingotCupronickel                                                          | -   |
| basemetals:cupronickel_nugget                   |                0 | Cupronickel Nugget                        | nuggetCupronickel                                                         | -   |
| basemetals:cupronickel_plate                    |                0 | Cupronickel Plate                         | plateCupronickel                                                          | -   |
| basemetals:cupronickel_powder                   |                0 | Powdered Cupronickel                      | dustCupronickel                                                           | -   |
| basemetals:cupronickel_rod                      |                0 | Cupronickel Rod                           | rod, rodCupronickel, stickCupronickel                                     | -   |
| basemetals:cupronickel_trapdoor                 |                0 | Cupronickel Trapdoor                      | trapdoor, trapdoorCupronickel                                             | -   |
| basemetals:electrum_bars                        |                0 | Electrum Bars                             | bars, barsElectrum                                                        | -   |
| basemetals:electrum_blend                       |                0 | Electrum Blend                            | dustElectrum                                                              | -   |
| basemetals:electrum_block                       |                0 | Electrum Block                            | blockElectrum                                                             | -   |
| basemetals:electrum_door_item                   |                0 | Electrum Door                             | door, doorElectrum                                                        | -   |
| basemetals:electrum_ingot                       |                0 | Electrum Ingot                            | ingotElectrum                                                             | -   |
| basemetals:electrum_nugget                      |                0 | Electrum Nugget                           | nuggetElectrum                                                            | -   |
| basemetals:electrum_plate                       |                0 | Electrum Plate                            | plateElectrum                                                             | -   |
| basemetals:electrum_powder                      |                0 | Powdered Electrum                         | dustElectrum                                                              | -   |
| basemetals:electrum_rod                         |                0 | Electrum Rod                              | rod, rodElectrum, stickElectrum                                           | -   |
| basemetals:electrum_trapdoor                    |                0 | Electrum Trapdoor                         | trapdoor, trapdoorElectrum                                                | -   |
| basemetals:gold_plate                           |                0 | Gold Plate                                | plateGold                                                                 | -   |
| basemetals:gold_powder                          |                0 | Powdered Gold                             | dustGold                                                                  | -   |
| basemetals:gold_rod                             |                0 | Gold Rod                                  | rod, rodGold, stickGold                                                   | -   |
| basemetals:invar_bars                           |                0 | Invar Bars                                | bars, barsInvar                                                           | -   |
| basemetals:invar_blend                          |                0 | Invar Blend                               | dustInvar                                                                 | -   |
| basemetals:invar_block                          |                0 | Invar Block                               | blockInvar                                                                | -   |
| basemetals:invar_door_item                      |                0 | Invar Door                                | door, doorInvar                                                           | -   |
| basemetals:invar_gear                           |                0 | Invar Gear                                | gear, gearInvar                                                           | -   |
| basemetals:invar_ingot                          |                0 | Invar Ingot                               | ingotInvar                                                                | -   |
| basemetals:invar_nugget                         |                0 | Invar Nugget                              | nuggetInvar                                                               | -   |
| basemetals:invar_plate                          |                0 | Invar Plate                               | plateInvar                                                                | -   |
| basemetals:invar_powder                         |                0 | Powdered Invar                            | dustInvar                                                                 | -   |
| basemetals:invar_rod                            |                0 | Invar Rod                                 | rod, rodInvar, stickInvar                                                 | -   |
| basemetals:invar_trapdoor                       |                0 | Invar Trapdoor                            | trapdoor, trapdoorInvar                                                   | -   |
| basemetals:iron_gear                            |                0 | Iron Gear                                 | gear, gearIron                                                            | -   |
| basemetals:iron_nugget                          |                0 | Iron Nugget                               | nuggetIron                                                                | -   |
| basemetals:iron_plate                           |                0 | Iron Plate                                | plateIron                                                                 | -   |
| basemetals:iron_powder                          |                0 | Powdered Iron                             | dustIron                                                                  | -   |
| basemetals:iron_rod                             |                0 | Iron Rod                                  | rod, rodIron, stickIron                                                   | -   |
| basemetals:lead_bars                            |                0 | Lead Bars                                 | bars, barsLead                                                            | -   |
| basemetals:lead_block                           |                0 | Lead Block                                | blockLead                                                                 | -   |
| basemetals:lead_door_item                       |                0 | Lead Door                                 | door, doorLead                                                            | -   |
| basemetals:lead_ingot                           |                0 | Lead Ingot                                | ingotLead                                                                 | -   |
| basemetals:lead_nugget                          |                0 | Lead Nugget                               | nuggetLead                                                                | -   |
| basemetals:lead_ore                             |                0 | Lead Ore                                  | oreLead                                                                   | -   |
| basemetals:lead_plate                           |                0 | Lead Plate                                | plateLead                                                                 | -   |
| basemetals:lead_powder                          |                0 | Powdered Lead                             | dustLead                                                                  | -   |
| basemetals:lead_rod                             |                0 | Lead Rod                                  | rod, rodLead, stickLead                                                   | -   |
| basemetals:lead_trapdoor                        |                0 | Lead Trapdoor                             | trapdoor, trapdoorLead                                                    | -   |
| basemetals:mercury_ingot                        |                0 | Liquid Mercury                            | ingotMercury, quicksilver                                                 | -   |
| basemetals:mercury_ore                          |                0 | Mercury Ore                               | oreMercury                                                                | -   |
