+-------------------------------+---------+-------------+-----------+------------+----------+-----------+-----------------------------------------+
| Name                          | Density | Temperature | Viscosity | Luminosity | Rarity   | isGaseous | Block                                   |
| enchantedmetal                |    2000 |        1500 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_enchantedmetal        |
| ender                         |    4000 |        1273 |        35 |          3 | COMMON   |     false | enderio:fluidEnder                      |
| ender_distillation            |     200 |         175 |      1000 |          0 | COMMON   |     false | enderio:blockEnder_distillation         |
| enderium                      |    2000 |        1200 |     10000 |         10 | UNCOMMON |     false | -                                       |
| energeticalloy                |    9000 |        1128 |      3000 |          4 | COMMON   |     false | enderio:blockEnergeticalloy             |
| ethanol                       |     789 |         300 |      1000 |          0 | COMMON   |     false | immersiveengineering:fluidEthanol       |
| fire_water                    |     900 |         300 |      1000 |          0 | COMMON   |     false | enderio:blockFire_water                 |
| for.honey                     |    1420 |         295 |     75600 |          0 | COMMON   |     false | forestry:fluid.for.honey                |
| fractum_fluid                 |    2000 |         750 |     10000 |         10 | UNCOMMON |     false | taiga:molten_fractum_fluid              |
| fuelcolumn                    |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                       |
| gaia                          |    2000 |        1600 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_gaia                  |
| galvanizedsteel               |    2000 |         769 |     10000 |         10 | COMMON   |     false | modernmetals:galvanizedsteel            |
| glass                         |    2000 |         625 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_glass                 |
| glowstone                     |    -500 |        1773 |       100 |         15 | COMMON   |      true | enderio:fluidGlowstone                  |
| gold                          |    2000 |         532 |     10000 |         10 | RARE     |     false | tconstruct:molten_gold                  |
| helium                        |     -10 |         300 |        40 |          0 | COMMON   |      true | nuclearcraft:fluid_helium               |
| helium3                       |     -10 |         300 |        40 |          0 | COMMON   |      true | nuclearcraft:fluid_helium3              |
| hellfire                      |    2000 |         850 |     10000 |         10 | UNCOMMON |     false | betterwithmods:molten_hellfire          |
| honey                         |    1000 |         300 |      1500 |          0 | COMMON   |     false | biomesoplenty:honey                     |
| hootch                        |     900 |         300 |      1000 |          0 | COMMON   |     false | enderio:blockHootch                     |
| hot_spring_water              |    1000 |         300 |      1000 |          0 | COMMON   |     false | biomesoplenty:hot_spring_water          |
| hydrogen                      |     -10 |         300 |        40 |          0 | COMMON   |      true | nuclearcraft:fluid_hydrogen             |
| ic2air                        |       0 |         300 |       500 |          0 | COMMON   |      true | ic2:air                                 |
| ic2biogas                     |    1000 |         300 |      3000 |          0 | COMMON   |      true | ic2:biogas                              |
| ic2biomass                    |    1000 |         300 |      3000 |          0 | COMMON   |     false | ic2:biomass                             |
| ic2construction_foam          |   10000 |         300 |     50000 |          0 | COMMON   |     false | ic2:construction_foam                   |
| ic2coolant                    |    1000 |         300 |      3000 |          0 | COMMON   |     false | ic2:coolant                             |
| ic2distilled_water            |    1000 |         300 |      1000 |          0 | COMMON   |     false | ic2:distilled_water                     |
| ic2heavy_water                |    1000 |         300 |      1000 |          0 | COMMON   |     false | ic2:heavy_water                         |
| ic2hot_coolant                |    1000 |        1200 |      3000 |          0 | COMMON   |     false | ic2:hot_coolant                         |
| ic2hot_water                  |    1000 |         350 |      1000 |          0 | COMMON   |     false | ic2:hot_water                           |
| ic2hydrogen                   |       0 |         300 |       500 |          0 | COMMON   |      true | ic2:hydrogen                            |
| ic2oxygen                     |       0 |         300 |       500 |          0 | COMMON   |      true | ic2:oxygen                              |
| ic2pahoehoe_lava              |   50000 |        1200 |    250000 |         10 | COMMON   |     false | ic2:pahoehoe_lava                       |
| ic2steam                      |    -800 |         420 |       300 |          0 | COMMON   |      true | ic2:steam                               |
| ic2superheated_steam          |   -3000 |         600 |       100 |          0 | COMMON   |      true | ic2:superheated_steam                   |
| ic2uu_matter                  |    3000 |         300 |      3000 |          0 | COMMON   |     false | ic2:uu_matter                           |
| ic2weed_ex                    |    1000 |         300 |      1000 |          0 | COMMON   |     false | ic2:weed_ex                             |
| ice                           |     520 |         265 |      1000 |          0 | COMMON   |     false | forestry:fluid.ice                      |
| ignitz_fluid                  |    2000 |         950 |      6000 |         10 | UNCOMMON |     false | taiga:molten_ignitz_fluid               |
| imperomite_fluid              |    2000 |         900 |     10000 |         10 | UNCOMMON |     false | taiga:molten_imperomite_fluid           |
| invar                         |    2000 |        1040 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_invar                 |
| iox_fluid                     |    2000 |         900 |     10000 |         10 | UNCOMMON |     false | taiga:molten_iox_fluid                  |
| iridium                       |    2000 |        1500 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_iridium               |
| iron                          |    2000 |         769 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_iron                  |
| ivorypsi                      |    2000 |        1700 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_ivorypsi              |
| jauxum_fluid                  |    2000 |         750 |      9000 |         10 | UNCOMMON |     false | taiga:molten_jauxum_fluid               |
| juice                         |    1000 |         295 |      1000 |          0 | COMMON   |     false | forestry:fluid.juice                    |
| karmesine_fluid               |    2000 |         750 |      9000 |         10 | UNCOMMON |     false | taiga:molten_karmesine_fluid            |
| knightslime                   |    2000 |         520 |     10000 |         10 | EPIC     |     false | tconstruct:molten_knightslime           |
| lava                          |    3000 |        1300 |      6000 |         15 | COMMON   |     false | minecraft:lava                          |
| lead                          |    2000 |         400 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_lead                  |
| liquid_essence                |    1000 |         300 |      1000 |          7 | RARE     |     false | arsmagica2:liquid_essence               |
| liquid_sunshine               |     200 |         300 |       400 |          0 | COMMON   |     false | enderio:blockLiquid_sunshine            |
| liquiddna                     |    1000 |         295 |      1000 |          0 | COMMON   |     false | gendustry:liquiddna                     |
| liquidhelium                  |     150 |           4 |         1 |          0 | COMMON   |     false | nuclearcraft:fluid_liquidhelium         |
| lithium6                      |    5000 |        1000 |      5000 |         10 | COMMON   |     false | nuclearcraft:fluid_lithium6             |
| lithium7                      |    5000 |        1000 |      5000 |         10 | COMMON   |     false | nuclearcraft:fluid_lithium7             |
| ludicrite                     |    2000 |        1700 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_ludicrite             |
| lumium                        |    2000 |        1000 |     10000 |         10 | UNCOMMON |     false | -                                       |
| lumix_fluid                   |    2000 |         450 |      8000 |         10 | UNCOMMON |     false | taiga:molten_lumix_fluid                |
| magma_fluid                   |    2000 |        2000 |      5000 |         10 | UNCOMMON |     false | taiga:molten_magma_fluid                |
| magnesium                     |    2000 |         769 |     10000 |         10 | COMMON   |     false | modernmetals:magnesium                  |
| manasteel                     |    2000 |         500 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_manasteel             |
| manganese                     |    2000 |         769 |     10000 |         10 | COMMON   |     false | modernmetals:manganese                  |
| manyullyn                     |    2000 |        1000 |     10000 |         10 | RARE     |     false | tconstruct:molten_manyullyn             |
| mercury                       |   13594 |         300 |      2000 |          0 | COMMON   |     false | basemetals:liquid_mercury               |
| meteorite_fluid               |    2000 |         950 |      7000 |         10 | UNCOMMON |     false | taiga:molten_meteorite_fluid            |
| milk                          |    1000 |         320 |      1000 |          0 | COMMON   |     false | tconstruct:milk                         |
| mithril                       |    2000 |        1350 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_mithril               |
| msoup                         |    2400 |         300 |      4000 |          0 | COMMON   |     false | -                                       |
| mutagen                       |    1000 |         295 |      1000 |          0 | COMMON   |     false | gendustry:mutagen                       |
| neutron                       |   10000 |         300 |        40 |          7 | COMMON   |     false | nuclearcraft:fluid_neutron              |
| nichrome                      |    2000 |         769 |     10000 |         10 | COMMON   |     false | modernmetals:nichrome                   |
| nickel                        |    2000 |         727 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_nickel                |
| nihilite_fluid                |    2000 |         580 |     10000 |         10 | UNCOMMON |     false | taiga:molten_nihilite_fluid             |
| niob_fluid                    |    2000 |         550 |     10000 |         10 | UNCOMMON |     false | taiga:molten_niob_fluid                 |
| nitronite_fluid               |    2000 |        3100 |      5000 |         10 | UNCOMMON |     false | taiga:molten_nitronite_fluid            |
| nucleum_fluid                 |    2000 |         490 |     10000 |         10 | UNCOMMON |     false | taiga:molten_nucleum_fluid              |
| nutrient_distillation         |    1500 |         300 |      3000 |          0 | COMMON   |     false | enderio:blockNutrient_distillation      |
| obsidian                      |    2000 |        1000 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_obsidian              |
| obsidiorite_fluid             |    2000 |        1050 |      7000 |         10 | UNCOMMON |     false | taiga:molten_obsidiorite_fluid          |
| oil                           |    1000 |         300 |      1000 |          0 | UNCOMMON |     false | actuallyadditions:blockOil              |
| osmium                        |    2000 |         600 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_osmium                |
| osram_fluid                   |    2000 |         800 |      4000 |         10 | UNCOMMON |     false | taiga:molten_osram_fluid                |
| ovium_fluid                   |    2000 |         750 |      9000 |         10 | UNCOMMON |     false | taiga:molten_ovium_fluid                |
| oxygen                        |     -10 |         300 |        40 |          0 | COMMON   |      true | nuclearcraft:fluid_oxygen               |
| palladium_fluid               |    2000 |         690 |     10000 |         10 | UNCOMMON |     false | taiga:molten_palladium_fluid            |
| pie                           |    2400 |         300 |      4000 |          0 | COMMON   |     false | -                                       |
| pigiron                       |    2000 |         600 |     10000 |         10 | EPIC     |     false | tconstruct:molten_pigiron               |
| plantoil                      |     925 |         300 |      2000 |          0 | COMMON   |     false | immersiveengineering:fluidPlantoil      |
| plasma                        |     500 |       10000 |       100 |         15 | COMMON   |     false | nuclearcraft:fluid_plasma               |
| platinum                      |    2000 |         900 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_platinum              |
| plutonium                     |    2000 |         300 |       769 |         10 | COMMON   |     false | modernmetals:plutonium                  |
| poison                        |    1000 |         300 |      1000 |          0 | COMMON   |     false | biomesoplenty:poison                    |
| potion                        |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                       |
| prometheum_fluid              |    2000 |         850 |     10000 |         10 | UNCOMMON |     false | taiga:molten_prometheum_fluid           |
| protein                       |    1000 |         295 |      1000 |          0 | COMMON   |     false | gendustry:protein                       |
| proxii_fluid                  |    2000 |         750 |     10000 |         10 | UNCOMMON |     false | taiga:molten_proxii_fluid               |
| psi                           |    2000 |         800 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_psi                   |
| pulsatingiron                 |    9000 |        1405 |      3000 |          4 | COMMON   |     false | enderio:blockPulsatingiron              |
| puremetal                     |    1600 |         600 |      1500 |         10 | COMMON   |     false | tinker_io:blockPureMetal                |
| purpleslime                   |    1600 |         370 |      1600 |          0 | COMMON   |     false | tconstruct:purpleslime                  |
| quartzenrichediron            |    2000 |         900 |     10000 |         10 | UNCOMMON |     false | -                                       |
| redstone                      |    1200 |        1973 |      1500 |          6 | COMMON   |     false | enderio:fluidRedstone                   |
| redstonealloy                 |    9000 |        1357 |      3000 |          4 | COMMON   |     false | enderio:blockRedstonealloy              |
| refinedglowstone              |    2000 |        1300 |     10000 |         10 | UNCOMMON |     false | -                                       |
| refinediron                   |    2000 |         780 |     10000 |         10 | UNCOMMON |     false | -                                       |
| refinedobsidian               |    2000 |        1600 |     10000 |         10 | UNCOMMON |     false | -                                       |
| rocket_fuel                   |     900 |         300 |      1000 |          0 | COMMON   |     false | enderio:blockRocket_fuel                |
| rsoup                         |    2400 |         300 |      4000 |          0 | COMMON   |     false | -                                       |
| rubber                        |    1200 |         300 |      1500 |          0 | COMMON   |     false | thebetweenlands:rubber                  |
| rutile                        |    2000 |         769 |     10000 |         10 | COMMON   |     false | modernmetals:rutile                     |
| sand                          |   50000 |         300 |     10000 |          0 | COMMON   |     false | biomesoplenty:sand                      |
| seed.oil                      |     885 |         295 |      5000 |          0 | COMMON   |     false | forestry:fluid.seed.oil                 |
| seismum_fluid                 |    2000 |         720 |     10000 |         10 | UNCOMMON |     false | taiga:molten_seismum_fluid              |
| short.mead                    |    1000 |         295 |      1200 |          0 | COMMON   |     false | forestry:fluid.short.mead               |
| signalum                      |    2000 |         950 |     10000 |         10 | UNCOMMON |     false | -                                       |
| silver                        |    2000 |         480 |     10000 |         10 | RARE     |     false | tconstruct:molten_silver                |
| smoke                         |   -1600 |         600 |      2000 |          0 | COMMON   |      true | primal:fluid.smoke                      |
| solarium_fluid                |    2000 |        1500 |      2000 |         10 | UNCOMMON |     false | taiga:molten_solarium_fluid             |
| soularium                     |    9000 |         636 |      3000 |          4 | COMMON   |     false | enderio:blockSoularium                  |
| soulforged_steel              |    2000 |         681 |     10000 |         10 | UNCOMMON |     false | betterwithmods:molten_soulforged_steel  |
| stagnant_water                |    1000 |         300 |      1000 |          0 | COMMON   |     false | thebetweenlands:stagnant_water          |
| stainlesssteel                |    2000 |         769 |     10000 |         10 | COMMON   |     false | modernmetals:stainlesssteel             |
| steam                         |       6 |        1000 |      1000 |          0 | COMMON   |      true | advgenerators:steam                     |
| steel                         |    2000 |         681 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_steel                 |
| stone                         |    2000 |         800 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_stone                 |
| swamp_water                   |    1000 |         300 |      1000 |          0 | COMMON   |     false | thebetweenlands:swamp_water             |
| syngas                        |     -10 |        1000 |      1000 |          0 | COMMON   |      true | advgenerators:syngas                    |
| tantalum                      |    2000 |         769 |     10000 |         10 | COMMON   |     false | modernmetals:tantalum                   |
| tar                           |    2000 |         330 |      2000 |          0 | COMMON   |     false | thebetweenlands:tar                     |
| terrasteel                    |    2000 |        1400 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_terrasteel            |
| terrax_fluid                  |    2000 |         850 |      9000 |         10 | UNCOMMON |     false | taiga:molten_terrax_fluid               |
| tiberium_fluid                |    2000 |         400 |      8000 |         10 | UNCOMMON |     false | taiga:molten_tiberium_fluid             |
| tin                           |    2000 |         350 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_tin                   |
| titanium                      |    2000 |        1400 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_titanium              |
| triberium_fluid               |    2000 |         550 |      9000 |         10 | UNCOMMON |     false | taiga:molten_triberium_fluid            |
| tritium                       |     -10 |         300 |        40 |          0 | COMMON   |      true | nuclearcraft:fluid_tritium              |
| tritonite_fluid               |    2000 |         550 |     10000 |         10 | UNCOMMON |     false | taiga:molten_tritonite_fluid            |
| tungsten                      |    2000 |        1800 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_tungsten              |
| tungstensteel                 |    2000 |        2100 |     10000 |         10 | UNCOMMON |     false | -                                       |
| uranium                       |    2000 |         600 |     10000 |          0 | COMMON   |     false | immersiveengineering:molten_uranium     |
| uru_fluid                     |    2000 |        1200 |     10000 |         10 | UNCOMMON |     false | taiga:molten_uru_fluid                  |
| valyrium_fluid                |    2000 |        1915 |     10000 |         10 | UNCOMMON |     false | taiga:molten_valyrium_fluid             |
| vapor_of_levity               |     -10 |           5 |       100 |          0 | COMMON   |      true | enderio:blockVapor_of_levity            |
| vibranium_fluid               |    2000 |        3050 |     10000 |         10 | UNCOMMON |     false | taiga:molten_vibranium_fluid            |
| vibrantalloy                  |    9000 |         913 |      3000 |          4 | COMMON   |     false | enderio:blockVibrantalloy               |
| violium_fluid                 |    2000 |         850 |     10000 |         10 | UNCOMMON |     false | taiga:molten_violium_fluid              |
| water                         |    1000 |         300 |      1000 |          0 | COMMON   |     false | minecraft:water                         |
| water_condensation            |    1600 |         300 |       100 |          0 | COMMON   |     false | primal:fluid.water_condensation         |
| witchwater                    |    1000 |         300 |      1000 |          0 | COMMON   |     false | exnihiloadscensio:witchwater            |
| xpjuice                       |     800 |         300 |      1500 |         10 | COMMON   |     false | -                                       |
| xu_demonic_metal              |    1000 |        1000 |      1000 |          0 | COMMON   |     false | -                                       |
| yellorium                     |     100 |         295 |       100 |         10 | UNCOMMON |     false | bigreactors:yellorium                   |
| yrdeen_fluid                  |    2000 |         710 |     10000 |         10 | UNCOMMON |     false | taiga:molten_yrdeen_fluid               |
| zinc                          |    2000 |         375 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_zinc                  |
| zirconium                     |    2000 |         769 |     10000 |         10 | COMMON   |     false | modernmetals:zirconium                  |
+-------------------------------+---------+-------------+-----------+------------+----------+-----------+-----------------------------------------+
| Name                          | Density | Temperature | Viscosity | Luminosity | Rarity   | isGaseous | Block                                   |
+-------------------------------+---------+-------------+-----------+------------+----------+-----------+-----------------------------------------+
