+----------------------+----------------------------------------------------+-------------------------------------------+------------------------------+--------+
| Mod ID               | Mod name                                           | Entity name                               | Entity class name            |     ID |
| IC2                  | IndustrialCraft 2                                  | IC2.StickyDynamite                        | EntityStickyDynamite         |      2 |
| MCA                  | Minecraft Comes Alive                              | MCA.EntityChoreFishHook                   | EntityChoreFishHook          |    228 |
| MCA                  | Minecraft Comes Alive                              | MCA.EntityGrimReaper                      | EntityGrimReaper             |    229 |
| MCA                  | Minecraft Comes Alive                              | MCA.EntityHuman                           | EntityHuman                  |    227 |
| Psi                  | Psi                                                | Psi.psi:spellCharge                       | EntitySpellCharge            |      3 |
| Psi                  | Psi                                                | Psi.psi:spellCircle                       | EntitySpellCircle            |      1 |
| Psi                  | Psi                                                | Psi.psi:spellGrenade                      | EntitySpellGrenade           |      2 |
| Psi                  | Psi                                                | Psi.psi:spellMine                         | EntitySpellMine              |      4 |
| Psi                  | Psi                                                | Psi.psi:spellProjectile                   | EntitySpellProjectile        |      0 |
| Quark                | Quark                                              | Quark.ashen                               | EntityAshen                  |      1 |
| Quark                | Quark                                              | Quark.dweller                             | EntityDweller                |      2 |
| Quark                | Quark                                              | Quark.pirate                              | EntityPirate                 |      3 |
| Quark                | Quark                                              | Quark.quark:arrow_ender                   | EntityArrowEnder             |      5 |
| Quark                | Quark                                              | Quark.quark:arrow_explosive               | EntityArrowExplosive         |      6 |
| Quark                | Quark                                              | Quark.quark:arrow_torch                   | EntityArrowTorch             |      7 |
| Quark                | Quark                                              | Quark.quark:colored_item_frame            | EntityColoredItemFrame       |      0 |
| Quark                | Quark                                              | Quark.wraith                              | EntityWraith                 |      4 |
| ToughAsNails         | Tough As Nails                                     | ToughAsNails.freeze                       | EntityFreeze                 |      2 |
| ToughAsNails         | Tough As Nails                                     | ToughAsNails.iceball                      | EntityIceball                |      1 |
| actuallyadditions    | Actually Additions                                 | actuallyadditions.actuallyadditions.worm  | EntityWorm                   |      0 |
| adinferos            | §e§k!!§6§k]]§c§kkk§4§lAd Inferos§c§kkk§6§k]]§e§k!! | adinferos.Arrow                           | EntityNetherArrow            |      7 |
| adinferos            | §e§k!!§6§k]]§c§kkk§4§lAd Inferos§c§kkk§6§k]]§e§k!! | adinferos.BlackWidow                      | EntityBlackWidow             |      0 |
| adinferos            | §e§k!!§6§k]]§c§kkk§4§lAd Inferos§c§kkk§6§k]]§e§k!! | adinferos.Curse                           | EntityCurse                  |      3 |
| adinferos            | §e§k!!§6§k]]§c§kkk§4§lAd Inferos§c§kkk§6§k]]§e§k!! | adinferos.Ghost                           | EntityGhost                  |     13 |
| adinferos            | §e§k!!§6§k]]§c§kkk§4§lAd Inferos§c§kkk§6§k]]§e§k!! | adinferos.GlowstoneSkeleton               | EntityGlowstoneSkeleton      |      4 |
| adinferos            | §e§k!!§6§k]]§c§kkk§4§lAd Inferos§c§kkk§6§k]]§e§k!! | adinferos.Herobrine                       | EntityHerobrine              |      9 |
| adinferos            | §e§k!!§6§k]]§c§kkk§4§lAd Inferos§c§kkk§6§k]]§e§k!! | adinferos.HerobrineClone                  | EntityHerobrineClone         |     10 |
| adinferos            | §e§k!!§6§k]]§c§kkk§4§lAd Inferos§c§kkk§6§k]]§e§k!! | adinferos.InfernalChicken                 | EntityInfernalChicken        |     12 |
| adinferos            | §e§k!!§6§k]]§c§kkk§4§lAd Inferos§c§kkk§6§k]]§e§k!! | adinferos.InfernumAvis                    | EntityInfernumAvis           |      8 |
| adinferos            | §e§k!!§6§k]]§c§kkk§4§lAd Inferos§c§kkk§6§k]]§e§k!! | adinferos.ObsidianSheepman                | EntityObsidianSheepman       |      2 |
| adinferos            | §e§k!!§6§k]]§c§kkk§4§lAd Inferos§c§kkk§6§k]]§e§k!! | adinferos.Phantom                         | EntityPhantom                |      6 |
| adinferos            | §e§k!!§6§k]]§c§kkk§4§lAd Inferos§c§kkk§6§k]]§e§k!! | adinferos.Reaper                          | EntityReaper                 |      1 |
| adinferos            | §e§k!!§6§k]]§c§kkk§4§lAd Inferos§c§kkk§6§k]]§e§k!! | adinferos.SkeletonHorse                   | EntitySkeletonHorse          |      5 |
| adinferos            | §e§k!!§6§k]]§c§kkk§4§lAd Inferos§c§kkk§6§k]]§e§k!! | adinferos.Summoner                        | EntitySummoner               |     11 |
| animania             | Animania                                           | animania.BullAngus                        | EntityBullAngus              |    507 |
| animania             | Animania                                           | animania.BullFriesian                     | EntityBullFriesian           |    504 |
| animania             | Animania                                           | animania.BullHereford                     | EntityBullHereford           |    513 |
| animania             | Animania                                           | animania.BullHolstein                     | EntityBullHolstein           |    501 |
| animania             | Animania                                           | animania.BullLonghorn                     | EntityBullLonghorn           |    510 |
| animania             | Animania                                           | animania.CalfAngus                        | EntityCalfAngus              |    508 |
| animania             | Animania                                           | animania.CalfFriesian                     | EntityCalfFriesian           |    505 |
| animania             | Animania                                           | animania.CalfHereford                     | EntityCalfHereford           |    514 |
| animania             | Animania                                           | animania.CalfHolstein                     | EntityCalfHolstein           |    502 |
| animania             | Animania                                           | animania.CalfLonghorn                     | EntityCalfLonghorn           |    511 |
| animania             | Animania                                           | animania.ChickLeghorn                     | EntityChickLeghorn           |    535 |
| animania             | Animania                                           | animania.ChickOrpington                   | EntityChickOrpington         |    538 |
| animania             | Animania                                           | animania.ChickPlymouthRock                | EntityChickPlymouthRock      |    532 |
| animania             | Animania                                           | animania.ChickRhodeIslandRed              | EntityChickRhodeIslandRed    |    544 |
| animania             | Animania                                           | animania.ChickWyandotte                   | EntityChickWyandotte         |    541 |
| animania             | Animania                                           | animania.CowAngus                         | EntityCowAngus               |    506 |
| animania             | Animania                                           | animania.CowFriesian                      | EntityCowFriesian            |    503 |
| animania             | Animania                                           | animania.CowHereford                      | EntityCowHereford            |    512 |
| animania             | Animania                                           | animania.CowHolstein                      | EntityCowHolstein            |    500 |
| animania             | Animania                                           | animania.CowLonghorn                      | EntityCowLonghorn            |    509 |
| animania             | Animania                                           | animania.FerretGrey                       | EntityFerretGrey             |    523 |
| animania             | Animania                                           | animania.FerretWhite                      | EntityFerretWhite            |    526 |
| animania             | Animania                                           | animania.Hamster                          | EntityHamster                |    520 |
| animania             | Animania                                           | animania.Hedgehog                         | EntityHedgehog               |    529 |
| animania             | Animania                                           | animania.HedgehogAlbino                   | EntityHedgehogAlbino         |    550 |
| animania             | Animania                                           | animania.HenLeghorn                       | EntityHenLeghorn             |    533 |
| animania             | Animania                                           | animania.HenOrpington                     | EntityHenOrpington           |    536 |
| animania             | Animania                                           | animania.HenPlymouthRock                  | EntityHenPlymouthRock        |    530 |
| animania             | Animania                                           | animania.HenRhodeIslandRed                | EntityHenRhodeIslandRed      |    542 |
| animania             | Animania                                           | animania.HenWyandotte                     | EntityHenWyandotte           |    539 |
| animania             | Animania                                           | animania.HogDuroc                         | EntityHogDuroc               |    613 |
| animania             | Animania                                           | animania.HogHampshire                     | EntityHogHampshire           |    616 |
| animania             | Animania                                           | animania.HogLargeBlack                    | EntityHogLargeBlack          |    607 |
| animania             | Animania                                           | animania.HogLargeWhite                    | EntityHogLargeWhite          |    610 |
| animania             | Animania                                           | animania.HogOldSpot                       | EntityHogOldSpot             |    604 |
| animania             | Animania                                           | animania.HogYorkshire                     | EntityHogYorkshire           |    601 |
| animania             | Animania                                           | animania.PeachickBlue                     | EntityPeachickBlue           |    582 |
| animania             | Animania                                           | animania.PeachickWhite                    | EntityPeachickWhite          |    585 |
| animania             | Animania                                           | animania.PeacockBlue                      | EntityPeacockBlue            |    580 |
| animania             | Animania                                           | animania.PeacockWhite                     | EntityPeacockWhite           |    583 |
| animania             | Animania                                           | animania.PeafowlBlue                      | EntityPeafowlBlue            |    581 |
| animania             | Animania                                           | animania.PeafowlWhite                     | EntityPeafowlWhite           |    584 |
| animania             | Animania                                           | animania.PigletDuroc                      | EntityPigletDuroc            |    614 |
| animania             | Animania                                           | animania.PigletHampshire                  | EntityPigletHampshire        |    617 |
| animania             | Animania                                           | animania.PigletLargeBlack                 | EntityPigletLargeBlack       |    608 |
| animania             | Animania                                           | animania.PigletLargeWhite                 | EntityPigletLargeWhite       |    611 |
| animania             | Animania                                           | animania.PigletOldSpot                    | EntityPigletOldSpot          |    605 |
| animania             | Animania                                           | animania.PigletYorkshire                  | EntityPigletYorkshire        |    602 |
| animania             | Animania                                           | animania.RoosterLeghorn                   | EntityRoosterLeghorn         |    534 |
| animania             | Animania                                           | animania.RoosterOrpington                 | EntityRoosterOrpington       |    537 |
| animania             | Animania                                           | animania.RoosterPlymouthRock              | EntityRoosterPlymouthRock    |    531 |
| animania             | Animania                                           | animania.RoosterRhodeIslandRed            | EntityRoosterRhodeIslandRed  |    543 |
| animania             | Animania                                           | animania.RoosterWyandotte                 | EntityRoosterWyandotte       |    540 |
| animania             | Animania                                           | animania.SowDuroc                         | EntitySowDuroc               |    612 |
| animania             | Animania                                           | animania.SowHampshire                     | EntitySowHampshire           |    615 |
| animania             | Animania                                           | animania.SowLargeBlack                    | EntitySowLargeBlack          |    606 |
| animania             | Animania                                           | animania.SowLargeWhite                    | EntitySowLargeWhite          |    609 |
| animania             | Animania                                           | animania.SowOldSpot                       | EntitySowOldSpot             |    603 |
| animania             | Animania                                           | animania.SowYorkshire                     | EntitySowYorkshire           |    600 |
| aquacreeper          | aquacreeper                                        | Aqua Creeper                              | EntityAquaCreeper            |      1 |
| aquacreeper          | aquacreeper                                        | aquacreeper.Aqua Creeper                  | EntityAquaCreeper            |      1 |
| arsmagica2           | Ars Magica 2                                       | arsmagica2.AirGuardian                    | EntityAirGuardian            |     17 |
| arsmagica2           | Ars Magica 2                                       | arsmagica2.AirSled                        | EntityAirSled                |     27 |
| arsmagica2           | Ars Magica 2                                       | arsmagica2.ArcaneGuardian                 | EntityArcaneGuardian         |     18 |
| arsmagica2           | Ars Magica 2                                       | arsmagica2.BoundArrow                     | EntityBoundArrow             |      4 |
| arsmagica2           | Ars Magica 2                                       | arsmagica2.Broom                          | EntityBroom                  |     28 |
| arsmagica2           | Ars Magica 2                                       | arsmagica2.DarkMage                       | EntityDarkMage               |      6 |
| arsmagica2           | Ars Magica 2                                       | arsmagica2.Darkling                       | EntityDarkling               |      5 |
| arsmagica2           | Ars Magica 2                                       | arsmagica2.Dryad                          | EntityDryad                  |      7 |
| arsmagica2           | Ars Magica 2                                       | arsmagica2.EarthElemental                 | EntityEarthElemental         |      8 |
| arsmagica2           | Ars Magica 2                                       | arsmagica2.EarthGuardian                  | EntityEarthGuardian          |     19 |
| arsmagica2           | Ars Magica 2                                       | arsmagica2.EnderGuardian                  | EntityEnderGuardian          |     20 |
| arsmagica2           | Ars Magica 2                                       | arsmagica2.FireElemental                  | EntityFireElemental          |      9 |
| arsmagica2           | Ars Magica 2                                       | arsmagica2.FireGuardian                   | EntityFireGuardian           |     21 |
| arsmagica2           | Ars Magica 2                                       | arsmagica2.Flicker                        | EntityFlicker                |     32 |
| arsmagica2           | Ars Magica 2                                       | arsmagica2.Hecate                         | EntityHecate                 |     31 |
| arsmagica2           | Ars Magica 2                                       | arsmagica2.HellCow                        | EntityHellCow                |     33 |
| arsmagica2           | Ars Magica 2                                       | arsmagica2.LifeGuardian                   | EntityLifeGuardian           |     22 |
| arsmagica2           | Ars Magica 2                                       | arsmagica2.LightMage                      | EntityLightMage              |     10 |
| arsmagica2           | Ars Magica 2                                       | arsmagica2.LightningGuardian              | EntityLightningGuardian      |     23 |
| arsmagica2           | Ars Magica 2                                       | arsmagica2.ManaCreeper                    | EntityManaCreeper            |     30 |
| arsmagica2           | Ars Magica 2                                       | arsmagica2.ManaElemental                  | EntityManaElemental          |     11 |
| arsmagica2           | Ars Magica 2                                       | arsmagica2.ManaVortex                     | EntityManaVortex             |     12 |
| arsmagica2           | Ars Magica 2                                       | arsmagica2.NatureGuardian                 | EntityNatureGuardian         |     24 |
| arsmagica2           | Ars Magica 2                                       | arsmagica2.RiftStorage                    | EntityRiftStorage            |      1 |
| arsmagica2           | Ars Magica 2                                       | arsmagica2.ShadowHelper                   | EntityShadowHelper           |     34 |
| arsmagica2           | Ars Magica 2                                       | arsmagica2.Shockwave                      | EntityShockwave              |     13 |
| arsmagica2           | Ars Magica 2                                       | arsmagica2.SpellEffect                    | EntitySpellEffect            |      2 |
| arsmagica2           | Ars Magica 2                                       | arsmagica2.SpellProjectile                | EntitySpellProjectile        |      0 |
| arsmagica2           | Ars Magica 2                                       | arsmagica2.ThrownRock                     | EntityThrownRock             |      3 |
| arsmagica2           | Ars Magica 2                                       | arsmagica2.ThrownSickle                   | EntityThrownSickle           |     14 |
| arsmagica2           | Ars Magica 2                                       | arsmagica2.WaterElemental                 | EntityWaterElemental         |     29 |
| arsmagica2           | Ars Magica 2                                       | arsmagica2.WaterGuardian                  | EntityWaterGuardian          |     25 |
| arsmagica2           | Ars Magica 2                                       | arsmagica2.Whirlwind                      | EntityWhirlwind              |     15 |
| arsmagica2           | Ars Magica 2                                       | arsmagica2.WinterGuardian                 | EntityWinterGuardian         |     26 |
| arsmagica2           | Ars Magica 2                                       | arsmagica2.WinterGuardianArm              | EntityWinterGuardianArm      |     16 |
| betterwithmods       | Better With Mods                                   | betterwithmods.BWMDynamite                | EntityDynamite               |      1 |
| betterwithmods       | Better With Mods                                   | betterwithmods.BWMMiningCharge            | EntityMiningCharge           |      2 |
| betterwithmods       | Better With Mods                                   | betterwithmods.ExtendingRope              | EntityExtendingRope          |      0 |
| betterwithmods       | Better With Mods                                   | betterwithmods.entityBroadheadArrow       | EntityBroadheadArrow         |      5 |
| betterwithmods       | Better With Mods                                   | betterwithmods.entityFallingGourd         | EntityFallingGourd           |      6 |
| betterwithmods       | Better With Mods                                   | betterwithmods.entityItemBuoy             | EntityItemBuoy               |      3 |
| betterwithmods       | Better With Mods                                   | betterwithmods.entityShearedCreeper       | EntityShearedCreeper         |      4 |
| betterwithmods       | Better With Mods                                   | betterwithmods.falling_block_custom       | EntityFallingBlockCustom     |      7 |
| clumps               | Clumps                                             | clumps.xp_orb_big                         | EntityXPOrbBig               |      0 |
| darkutils            | Dark Utilities                                     | darkutils.FakeTNT                         | EntityFakeTNT                |      0 |
| draconicevolution    | Draconic Evolution                                 | draconicevolution.ChaosGuardian           | EntityChaosGuardian          |      6 |
| draconicevolution    | Draconic Evolution                                 | draconicevolution.CustomArrow             | EntityCustomArrow            |     11 |
| draconicevolution    | Draconic Evolution                                 | draconicevolution.DragonHeartItem         | EntityDragonHeart            |      5 |
| draconicevolution    | Draconic Evolution                                 | draconicevolution.EnderEnergyManipulator  | EntityEnderEnergyManipulator |     13 |
| draconicevolution    | Draconic Evolution                                 | draconicevolution.EntityChaosEnergyVortex | EntityChaosImplosion         |     10 |
| draconicevolution    | Draconic Evolution                                 | draconicevolution.GuardianCrystal         | EntityGuardianCrystal        |      8 |
| draconicevolution    | Draconic Evolution                                 | draconicevolution.GuardianProjectile      | EntityGuardianProjectile     |      7 |
| draconicevolution    | Draconic Evolution                                 | draconicevolution.LootCore                | EntityLootCore               |     12 |
| draconicevolution    | Draconic Evolution                                 | draconicevolution.PersistentItem          | EntityPersistentItem         |      1 |
| exnihiloadscensio    | Ex Nihilo Adscensio                                | exnihiloadscensio.Thrown Stone            | ProjectileStone              |      0 |
| extrautils2          | Extra Utilities 2                                  | extrautils2.boomerang                     | EntityBoomerang              |      0 |
| extrautils2          | Extra Utilities 2                                  | extrautils2.chunkdata                     | EntityChunkData              |      1 |
| fairylights          | Fairy Lights                                       | fairylights.Fastener                      | EntityFenceFastener          |      0 |
| fairylights          | Fairy Lights                                       | fairylights.Ladder                        | EntityLadder                 |      1 |
| forestry             | Forestry                                           | forestry.butterflyGE                      | EntityButterfly              |      0 |
| forestry             | Forestry                                           | forestry.cart.apiary                      | EntityMinecartApiary         |      2 |
| forestry             | Forestry                                           | forestry.cart.beehouse                    | EntityMinecartBeehouse       |      1 |
| gravestone           | Gravestone                                         | gravestone.player_ghost                   | EntityGhostPlayer            |    378 |
| headcrumbs           | Headcrumbs                                         | headcrumbs.Human                          | EntityHuman                  |      0 |
| immersiveengineering | Immersive Engineering                              | immersiveengineering.chemthrowerShot      | EntityChemthrowerShot        |      4 |
| immersiveengineering | Immersive Engineering                              | immersiveengineering.explosive            | EntityIEExplosive            |      7 |
| immersiveengineering | Immersive Engineering                              | immersiveengineering.fluorescentTube      | EntityFluorescentTube        |      8 |
| immersiveengineering | Immersive Engineering                              | immersiveengineering.railgunShot          | EntityRailgunShot            |      5 |
| immersiveengineering | Immersive Engineering                              | immersiveengineering.revolverShot         | EntityRevolvershot           |      0 |
| immersiveengineering | Immersive Engineering                              | immersiveengineering.revolverShotFlare    | EntityRevolvershotFlare      |      6 |
| immersiveengineering | Immersive Engineering                              | immersiveengineering.revolverShotHoming   | EntityRevolvershotHoming     |      2 |
| immersiveengineering | Immersive Engineering                              | immersiveengineering.revolverShotWolfpack | EntityWolfpackShot           |      3 |
| immersiveengineering | Immersive Engineering                              | immersiveengineering.skylineHook          | EntitySkylineHook            |      1 |
| jaff                 | Just a Few Fish                                    | jaff.FishClown                            | EntityFishClownfish          |      3 |
| jaff                 | Just a Few Fish                                    | jaff.FishCod                              | EntityFishCod                |      1 |
| jaff                 | Just a Few Fish                                    | jaff.FishPuffer                           | EntityFishPufferfish         |      4 |
| jaff                 | Just a Few Fish                                    | jaff.FishSalmon                           | EntityFishSalmon             |      2 |
| jaff                 | Just a Few Fish                                    | jaff.IronFishHook                         | EntityIronFishHook           |      0 |
| minecraft            | Minecraft                                          | AreaEffectCloud                           | EntityAreaEffectCloud        |      3 |
| minecraft            | Minecraft                                          | ArmorStand                                | EntityArmorStand             |     30 |
| minecraft            | Minecraft                                          | Arrow                                     | EntityTippedArrow            |     10 |
| minecraft            | Minecraft                                          | Bat                                       | EntityBat                    |     65 |
| minecraft            | Minecraft                                          | Blaze                                     | EntityBlaze                  |     61 |
| minecraft            | Minecraft                                          | Boat                                      | EntityBoat                   |     41 |
| minecraft            | Minecraft                                          | CaveSpider                                | EntityCaveSpider             |     59 |
| minecraft            | Minecraft                                          | Chicken                                   | EntityChicken                |     93 |
| minecraft            | Minecraft                                          | Cow                                       | EntityCow                    |     92 |
| minecraft            | Minecraft                                          | Creeper                                   | EntityCreeper                |     50 |
| minecraft            | Minecraft                                          | DragonFireball                            | EntityDragonFireball         |     26 |
| minecraft            | Minecraft                                          | EnderCrystal                              | EntityEnderCrystal           |    200 |
| minecraft            | Minecraft                                          | EnderDragon                               | EntityDragon                 |     63 |
| minecraft            | Minecraft                                          | Enderman                                  | EntityEnderman               |     58 |
| minecraft            | Minecraft                                          | Endermite                                 | EntityEndermite              |     67 |
| minecraft            | Minecraft                                          | EntityHorse                               | EntityHorse                  |    100 |
| minecraft            | Minecraft                                          | EyeOfEnderSignal                          | EntityEnderEye               |     15 |
| minecraft            | Minecraft                                          | FallingSand                               | EntityFallingBlock           |     21 |
| minecraft            | Minecraft                                          | Fireball                                  | EntityLargeFireball          |     12 |
| minecraft            | Minecraft                                          | FireworksRocketEntity                     | EntityFireworkRocket         |     22 |
| minecraft            | Minecraft                                          | Ghast                                     | EntityGhast                  |     56 |
| minecraft            | Minecraft                                          | Giant                                     | EntityGiantZombie            |     53 |
| minecraft            | Minecraft                                          | Guardian                                  | EntityGuardian               |     68 |
| minecraft            | Minecraft                                          | Item                                      | EntityItem                   |      1 |
| minecraft            | Minecraft                                          | ItemFrame                                 | EntityItemFrame              |     18 |
| minecraft            | Minecraft                                          | LavaSlime                                 | EntityMagmaCube              |     62 |
| minecraft            | Minecraft                                          | LeashKnot                                 | EntityLeashKnot              |      8 |
| minecraft            | Minecraft                                          | MinecartChest                             | EntityMinecartChest          |     43 |
| minecraft            | Minecraft                                          | MinecartCommandBlock                      | EntityMinecartCommandBlock   |     40 |
| minecraft            | Minecraft                                          | MinecartFurnace                           | EntityMinecartFurnace        |     44 |
| minecraft            | Minecraft                                          | MinecartHopper                            | EntityMinecartHopper         |     46 |
| minecraft            | Minecraft                                          | MinecartRideable                          | EntityMinecartEmpty          |     42 |
| minecraft            | Minecraft                                          | MinecartSpawner                           | EntityMinecartMobSpawner     |     47 |
| minecraft            | Minecraft                                          | MinecartTNT                               | EntityMinecartTNT            |     45 |
| minecraft            | Minecraft                                          | Mob                                       | EntityLiving                 |     48 |
| minecraft            | Minecraft                                          | Monster                                   | EntityMob                    |     49 |
| minecraft            | Minecraft                                          | MushroomCow                               | EntityMooshroom              |     96 |
| minecraft            | Minecraft                                          | Ozelot                                    | EntityOcelot                 |     98 |
| minecraft            | Minecraft                                          | Painting                                  | EntityPainting               |      9 |
| minecraft            | Minecraft                                          | Pig                                       | EntityPig                    |     90 |
| minecraft            | Minecraft                                          | PigZombie                                 | EntityPigZombie              |     57 |
| minecraft            | Minecraft                                          | PolarBear                                 | EntityPolarBear              |    102 |
| minecraft            | Minecraft                                          | PrimedTnt                                 | EntityTNTPrimed              |     20 |
| minecraft            | Minecraft                                          | Rabbit                                    | EntityRabbit                 |    101 |
| minecraft            | Minecraft                                          | Sheep                                     | EntitySheep                  |     91 |
| minecraft            | Minecraft                                          | Shulker                                   | EntityShulker                |     69 |
| minecraft            | Minecraft                                          | ShulkerBullet                             | EntityShulkerBullet          |     25 |
| minecraft            | Minecraft                                          | Silverfish                                | EntitySilverfish             |     60 |
| minecraft            | Minecraft                                          | Skeleton                                  | EntitySkeleton               |     51 |
| minecraft            | Minecraft                                          | Slime                                     | EntitySlime                  |     55 |
| minecraft            | Minecraft                                          | SmallFireball                             | EntitySmallFireball          |     13 |
| minecraft            | Minecraft                                          | SnowMan                                   | EntitySnowman                |     97 |
| minecraft            | Minecraft                                          | Snowball                                  | EntitySnowball               |     11 |
| minecraft            | Minecraft                                          | SpectralArrow                             | EntitySpectralArrow          |     24 |
| minecraft            | Minecraft                                          | Spider                                    | EntitySpider                 |     52 |
| minecraft            | Minecraft                                          | Squid                                     | EntitySquid                  |     94 |
| minecraft            | Minecraft                                          | ThrownEgg                                 | EntityEgg                    |      7 |
| minecraft            | Minecraft                                          | ThrownEnderpearl                          | EntityEnderPearl             |     14 |
| minecraft            | Minecraft                                          | ThrownExpBottle                           | EntityExpBottle              |     17 |
| minecraft            | Minecraft                                          | ThrownPotion                              | EntityPotion                 |     16 |
| minecraft            | Minecraft                                          | Villager                                  | EntityVillager               |    120 |
| minecraft            | Minecraft                                          | VillagerGolem                             | EntityIronGolem              |     99 |
| minecraft            | Minecraft                                          | Witch                                     | EntityWitch                  |     66 |
| minecraft            | Minecraft                                          | WitherBoss                                | EntityWither                 |     64 |
| minecraft            | Minecraft                                          | WitherSkull                               | EntityWitherSkull            |     19 |
| minecraft            | Minecraft                                          | Wolf                                      | EntityWolf                   |     95 |
| minecraft            | Minecraft                                          | XPOrb                                     | EntityXPOrb                  |      2 |
| minecraft            | Minecraft                                          | Zombie                                    | EntityZombie                 |     54 |
| mocreatures          | DrZhark's Mo'Creatures Mod                         | mocreatures.Anchovy                       | MoCEntityAnchovy             |   7308 |
| mocreatures          | DrZhark's Mo'Creatures Mod                         | mocreatures.AngelFish                     | MoCEntityAngelFish           |   7309 |
| mocreatures          | DrZhark's Mo'Creatures Mod                         | mocreatures.Angler                        | MoCEntityAngler              |   7310 |
| mocreatures          | DrZhark's Mo'Creatures Mod                         | mocreatures.Ant                           | MoCEntityAnt                 |   7325 |
