+------------------------------------------------------+--------+
| Registry name                                        |     ID |
| animania:cluck3                                      |    497 |
| animania:cluck4                                      |    498 |
| animania:cluck5                                      |    499 |
| animania:cluck6                                      |    500 |
| animania:combo                                       |    471 |
| animania:cowDeath1                                   |    516 |
| animania:cowDeath2                                   |    517 |
| animania:cowEat1                                     |    518 |
| animania:cowEat2                                     |    519 |
| animania:cowHurt1                                    |    522 |
| animania:cowHurt2                                    |    523 |
| animania:crow1                                       |    492 |
| animania:crow2                                       |    493 |
| animania:crow3                                       |    494 |
| animania:death1                                      |    503 |
| animania:death2                                      |    504 |
| animania:ferretHurt1                                 |    479 |
| animania:ferretLiving1                               |    480 |
| animania:ferretLiving2                               |    481 |
| animania:ferretLiving3                               |    482 |
| animania:ferretLiving4                               |    483 |
| animania:ferretLiving5                               |    484 |
| animania:ferretLiving6                               |    485 |
| animania:hamsterDeath                                |    472 |
| animania:hamsterEat1                                 |    473 |
| animania:hamsterEat2                                 |    474 |
| animania:hamsterHurt1                                |    475 |
| animania:hamsterLiving1                              |    476 |
| animania:hamsterLiving2                              |    477 |
| animania:hamsterLiving3                              |    478 |
| animania:hedgehogHurt1                               |    486 |
| animania:hedgehogLiving1                             |    487 |
| animania:hedgehogLiving2                             |    488 |
| animania:hedgehogLiving3                             |    489 |
| animania:hedgehogLiving4                             |    490 |
| animania:hedgehogLiving5                             |    491 |
| animania:hog1                                        |    547 |
| animania:hog2                                        |    548 |
| animania:hog3                                        |    549 |
| animania:hog4                                        |    550 |
| animania:hog5                                        |    551 |
| animania:hurt1                                       |    501 |
| animania:hurt2                                       |    502 |
| animania:hurtCalf1                                   |    520 |
| animania:hurtCalf2                                   |    521 |
| animania:moo1                                        |    527 |
| animania:moo2                                        |    528 |
| animania:moo3                                        |    529 |
| animania:moo4                                        |    530 |
| animania:moo5                                        |    531 |
| animania:moo6                                        |    532 |
| animania:moo7                                        |    533 |
| animania:moo8                                        |    534 |
| animania:mooCalf1                                    |    524 |
| animania:mooCalf2                                    |    525 |
| animania:mooCalf3                                    |    526 |
| animania:peacock1                                    |    535 |
| animania:peacock10                                   |    544 |
| animania:peacock2                                    |    536 |
| animania:peacock3                                    |    537 |
| animania:peacock4                                    |    538 |
| animania:peacock5                                    |    539 |
| animania:peacock6                                    |    540 |
| animania:peacock7                                    |    541 |
| animania:peacock8                                    |    542 |
| animania:peacock9                                    |    543 |
| animania:peacockHurt1                                |    545 |
| animania:peacockHurt2                                |    546 |
| animania:pig1                                        |    552 |
| animania:pig2                                        |    553 |
| animania:pig3                                        |    554 |
| animania:pig4                                        |    555 |
| animania:pig5                                        |    556 |
| animania:pig6                                        |    557 |
| animania:pig7                                        |    558 |
| animania:pigHurt1                                    |    559 |
| animania:pigHurt2                                    |    560 |
| animania:piglet1                                     |    564 |
| animania:piglet2                                     |    565 |
| animania:piglet3                                     |    566 |
| animania:pigletHurt1                                 |    561 |
| animania:pigletHurt2                                 |    562 |
| animania:pigletHurt3                                 |    563 |
| animania:zap                                         |    470 |
| aquacreeper:aquacreeperhurt                          |   1004 |
| aquacreeper:aquacreeperswim                          |   1005 |
| aquacreeper:underwaterexplosion                      |   1006 |
| aquacreeper:underwaterfuse                           |   1007 |
| arsmagica2:misc.calefactor.burn                      |    623 |
| arsmagica2:misc.craftingaltar.create_spell           |    624 |
| arsmagica2:misc.gateway.open                         |    621 |
| arsmagica2:misc.reconstructor.complete               |    622 |
| arsmagica2:mob.airguardian.death                     |    568 |
| arsmagica2:mob.airguardian.hit                       |    567 |
| arsmagica2:mob.airguardian.idle                      |    569 |
| arsmagica2:mob.arcaneguardian.death                  |    571 |
| arsmagica2:mob.arcaneguardian.hit                    |    570 |
| arsmagica2:mob.arcaneguardian.idle                   |    572 |
| arsmagica2:mob.arcaneguardian.spell                  |    573 |
| arsmagica2:mob.earthguardian.attack                  |    600 |
| arsmagica2:mob.earthguardian.death                   |    598 |
| arsmagica2:mob.earthguardian.hit                     |    597 |
| arsmagica2:mob.earthguardian.idle                    |    599 |
| arsmagica2:mob.enderguardian.attack                  |    606 |
| arsmagica2:mob.enderguardian.death                   |    604 |
| arsmagica2:mob.enderguardian.flap                    |    602 |
| arsmagica2:mob.enderguardian.hit                     |    603 |
| arsmagica2:mob.enderguardian.idle                    |    605 |
| arsmagica2:mob.enderguardian.roar                    |    601 |
| arsmagica2:mob.fireguardian.attack                   |    610 |
| arsmagica2:mob.fireguardian.death                    |    608 |
| arsmagica2:mob.fireguardian.hit                      |    607 |
| arsmagica2:mob.fireguardian.idle                     |    609 |
| arsmagica2:mob.hecate.death                          |    619 |
| arsmagica2:mob.hecate.hit                            |    620 |
| arsmagica2:mob.hecate.idle                           |    618 |
| arsmagica2:mob.lifeguardian.death                    |    589 |
| arsmagica2:mob.lifeguardian.heal                     |    591 |
| arsmagica2:mob.lifeguardian.hit                      |    588 |
| arsmagica2:mob.lifeguardian.idle                     |    590 |
| arsmagica2:mob.lifeguardian.summon                   |    587 |
| arsmagica2:mob.lightningguardian.attack              |    575 |
| arsmagica2:mob.lightningguardian.attack_static       |    576 |
| arsmagica2:mob.lightningguardian.death               |    581 |
| arsmagica2:mob.lightningguardian.hit                 |    580 |
| arsmagica2:mob.lightningguardian.idle                |    574 |
| arsmagica2:mob.lightningguardian.lightning_rod_1     |    577 |
| arsmagica2:mob.lightningguardian.lightning_rod_start |    578 |
| arsmagica2:mob.lightningguardian.static              |    579 |
| arsmagica2:mob.manaelemental.death                   |    617 |
| arsmagica2:mob.manaelemental.hit                     |    615 |
| arsmagica2:mob.manaelemental.living                  |    616 |
| arsmagica2:mob.moo.death                             |    626 |
| arsmagica2:mob.moo.hit                               |    627 |
| arsmagica2:mob.moo.idle                              |    625 |
| arsmagica2:mob.natureguardian.attack                 |    586 |
| arsmagica2:mob.natureguardian.death                  |    585 |
| arsmagica2:mob.natureguardian.hit                    |    583 |
| arsmagica2:mob.natureguardian.idle                   |    584 |
| arsmagica2:mob.natureguardian.whirlloop              |    582 |
| arsmagica2:mob.waterguardian.attack                  |    614 |
| arsmagica2:mob.waterguardian.death                   |    613 |
| arsmagica2:mob.waterguardian.hit                     |    611 |
| arsmagica2:mob.waterguardian.idle                    |    612 |
| arsmagica2:mob.winterguardian.attack                 |    596 |
| arsmagica2:mob.winterguardian.death                  |    595 |
| arsmagica2:mob.winterguardian.hit                    |    594 |
| arsmagica2:mob.winterguardian.idle                   |    593 |
| arsmagica2:mob.winterguardian.launcharm              |    592 |
| betterwithmods:block.metal.chime                     |   1026 |
| betterwithmods:block.stone.grind                     |   1023 |
| betterwithmods:block.wood.bellow                     |   1024 |
| betterwithmods:block.wood.chime                      |   1025 |
| betterwithmods:block.wood.creak                      |   1022 |
| biomesoplenty:entity.pixie.ambient                   |    628 |
| biomesoplenty:entity.pixie.hurt                      |    629 |
| biomesoplenty:entity.wasp.ambient                    |    630 |
| biomesoplenty:entity.wasp.hurt                       |    631 |
| biomesoplenty:records.corruption                     |    632 |
| biomesoplenty:records.wanderer                       |    633 |
| botania:agricarnation                                |    635 |
| botania:airRod                                       |    634 |
| botania:altarCraft                                   |    636 |
| botania:babylonAttack                                |    637 |
| botania:babylonSpawn                                 |    638 |
| botania:bellows                                      |    639 |
| botania:bifrostRod                                   |    640 |
| botania:blackLotus                                   |    641 |
| botania:dash                                         |    642 |
| botania:ding                                         |    643 |
| botania:divaCharm                                    |    644 |
| botania:divinationRod                                |    645 |
| botania:doit                                         |    646 |
| botania:enchanterEnchant                             |    649 |
| botania:enchanterFade                                |    648 |
| botania:enchanterForm                                |    647 |
| botania:endoflame                                    |    650 |
| botania:equipBauble                                  |    651 |
| botania:gaiaTrap                                     |    652 |
| botania:goldenLaurel                                 |    653 |
| botania:holyCloak                                    |    654 |
| botania:laputaStart                                  |    655 |
| botania:lexiconOpen                                  |    656 |
| botania:lexiconPage                                  |    657 |
| botania:lightRelay                                   |    658 |
| botania:manaBlaster                                  |    659 |
| botania:manaPoolCraft                                |    660 |
| botania:missile                                      |    661 |
| botania:music.gaia1                                  |    675 |
| botania:music.gaia2                                  |    682 |
| botania:orechid                                      |    662 |
| botania:potionCreate                                 |    663 |
| botania:runeAltarCraft                               |    664 |
| botania:runeAltarStart                               |    665 |
| botania:spreaderFire                                 |    666 |
| botania:starcaller                                   |    667 |
| botania:terraBlade                                   |    668 |
| botania:terraPickMode                                |    670 |
| botania:terraformRod                                 |    669 |
| botania:terrasteelCraft                              |    671 |
| botania:thermalily                                   |    672 |
| botania:unholyCloak                                  |    673 |
| botania:way                                          |    674 |
| dsurround:MISSING                                    |   1230 |
| dsurround:battle.dragon                              |    820 |
| dsurround:battle.miniboss                            |    819 |
| dsurround:battle.normal                              |    818 |
| dsurround:battle.wither                              |    821 |
| dsurround:beach                                      |    759 |
| dsurround:bees                                       |    788 |
| dsurround:bigrockfall                                |    771 |
| dsurround:bird                                       |    765 |
| dsurround:bison                                      |    802 |
| dsurround:blunt.equip                                |    809 |
| dsurround:blunt.swing                                |    810 |
| dsurround:bog                                        |    761 |
| dsurround:bookshelf                                  |    800 |
| dsurround:bow.equip                                  |    811 |
| dsurround:bow.pull                                   |    812 |
| dsurround:breathing                                  |    786 |
| dsurround:coyote                                     |    776 |
| dsurround:crafting                                   |    801 |
| dsurround:crickets                                   |    756 |
| dsurround:crocodile                                  |    793 |
| dsurround:crow                                       |    767 |
| dsurround:dimension.nether                           |    808 |
| dsurround:dust                                       |    464 |
| dsurround:elephant                                   |    795 |
| dsurround:floorsqueak                                |    785 |
| dsurround:forest                                     |    758 |
| dsurround:frog                                       |    754 |
| dsurround:fs.armor.crystal_foot                      |    694 |
| dsurround:fs.armor.crystal_run                       |    693 |
| dsurround:fs.armor.crystal_walk                      |    692 |
| dsurround:fs.armor.heavy_foot                        |    697 |
| dsurround:fs.armor.heavy_run                         |    696 |
| dsurround:fs.armor.heavy_walk                        |    695 |
| dsurround:fs.armor.light_run                         |    688 |
| dsurround:fs.armor.light_walk                        |    687 |
| dsurround:fs.armor.medium_foot                       |    691 |
| dsurround:fs.armor.medium_run                        |    690 |
| dsurround:fs.armor.medium_walk                       |    689 |
| dsurround:fs.bluntwood.bluntwood_walk                |    698 |
| dsurround:fs.bluntwood.bluntwood_wander              |    699 |
| dsurround:fs.brush.brush_through                     |    700 |
| dsurround:fs.concrete.concrete_run                   |    701 |
| dsurround:fs.concrete.concrete_walk                  |    702 |
| dsurround:fs.concrete.concrete_wander                |    703 |
| dsurround:fs.deckwood.deckwood_run                   |    704 |
| dsurround:fs.dirt.dirt_land                          |    705 |
| dsurround:fs.dirt.dirt_run                           |    706 |
| dsurround:fs.dirt.dirt_walk                          |    707 |
| dsurround:fs.dirt.dirt_wander                        |    708 |
| dsurround:fs.glass.glass_hard                        |    709 |
| dsurround:fs.glass.glass_hit                         |    710 |
| dsurround:fs.grass.grass_run                         |    711 |
| dsurround:fs.grass.grass_walk                        |    712 |
| dsurround:fs.grass.grass_wander                      |    713 |
| dsurround:fs.gravel.gravel_land                      |    714 |
| dsurround:fs.gravel.gravel_run                       |    715 |
| dsurround:fs.gravel.gravel_walk                      |    716 |
| dsurround:fs.gravel.gravel_wander                    |    717 |
| dsurround:fs.leaves.leaves_through                   |    718 |
| dsurround:fs.lino.lino_run                           |    719 |
| dsurround:fs.lino.lino_walk                          |    720 |
| dsurround:fs.marble.marble_run                       |    721 |
| dsurround:fs.marble.marble_walk                      |    722 |
| dsurround:fs.marble.marble_wander                    |    723 |
| dsurround:fs.metalbar.metalbar_land                  |    724 |
| dsurround:fs.metalbar.metalbar_run                   |    725 |
| dsurround:fs.metalbar.metalbar_walk                  |    726 |
| dsurround:fs.metalbar.metalbar_wander                |    727 |
| dsurround:fs.metalbox.metalbox_run                   |    728 |
| dsurround:fs.metalbox.metalbox_walk                  |    729 |
| dsurround:fs.metalbox.metalbox_wander                |    730 |
| dsurround:fs.mud.mud_walk                            |    731 |
| dsurround:fs.mud.mud_wander                          |    732 |
| dsurround:fs.muffledice.muffledice_walk              |    733 |
| dsurround:fs.quicksand.quicksand_walk                |    734 |
| dsurround:fs.rug.rug_walk                            |    735 |
| dsurround:fs.sand.sand_run                           |    736 |
| dsurround:fs.sand.sand_walk                          |    737 |
| dsurround:fs.snow.snow_run                           |    738 |
| dsurround:fs.snow.snow_walk                          |    739 |
| dsurround:fs.snow.snow_wander                        |    740 |
| dsurround:fs.squeakywood.squeakywood_walk            |    741 |
| dsurround:fs.squeakywood.squeakywood_wander          |    742 |
| dsurround:fs.stone.stone_run                         |    743 |
| dsurround:fs.stone.stone_walk                        |    744 |
| dsurround:fs.stone.stone_wander                      |    745 |
| dsurround:fs.water.water_through                     |    746 |
| dsurround:fs.water.water_wander                      |    747 |
| dsurround:fs.water_stereofix.water_through           |    748 |
| dsurround:fs.water_stereofix.water_wander            |    749 |
| dsurround:fs.weakice.weakice_walk                    |    750 |
| dsurround:fs.wood.wood_walk                          |    751 |
| dsurround:gnatt                                      |    791 |
| dsurround:grasshopper                                |    792 |
| dsurround:heartbeat                                  |    783 |
| dsurround:hiss                                       |    796 |
| dsurround:ice                                        |    753 |
| dsurround:insectbuzz                                 |    790 |
| dsurround:insectcrawl                                |    789 |
| dsurround:jump                                       |    787 |
| dsurround:jungle                                     |    762 |
| dsurround:monstergrowl                               |    772 |
| dsurround:newsprint                                  |    797 |
| dsurround:owl                                        |    768 |
| dsurround:pageflip                                   |    798 |
| dsurround:pageflipheavy                              |    799 |
| dsurround:plains                                     |    757 |
| dsurround:primates                                   |    803 |
| dsurround:rain                                       |    463 |
| dsurround:rattlesnake                                |    794 |
| dsurround:river                                      |    760 |
| dsurround:rockfall                                   |    770 |
| dsurround:seagulls                                   |    775 |
| dsurround:soulsand                                   |    763 |
| dsurround:sword.equip                                |    813 |
| dsurround:sword.swing                                |    814 |
| dsurround:theend                                     |    764 |
| dsurround:thunder                                    |    752 |
| dsurround:tool.equip                                 |    815 |
| dsurround:tool.swing                                 |    816 |
| dsurround:tummy                                      |    784 |
| dsurround:underdeepocean                             |    778 |
| dsurround:underground                                |    769 |
| dsurround:underocean                                 |    779 |
| dsurround:underriver                                 |    780 |
| dsurround:underwater                                 |    781 |
| dsurround:utility.equip                              |    817 |
| dsurround:village.anvil                              |    806 |
| dsurround:village.dogbark                            |    807 |
| dsurround:village.rooster                            |    805 |
| dsurround:waterdrips                                 |    774 |
| dsurround:waterdrops                                 |    773 |
| dsurround:waterfall                                  |    804 |
| dsurround:whale                                      |    782 |
| dsurround:wind                                       |    755 |
| dsurround:wolf                                       |    777 |
| dsurround:woodpecker                                 |    766 |
| elevatorid:teleport                                  |    822 |
| enderio:ds.jump                                      |   1194 |
| enderio:ds.nightvision.off                           |   1193 |
| enderio:ds.nightvision.on                            |   1192 |
| enderio:generator.zombie.bubble                      |   1191 |
| enderio:telepad.teleport                             |   1195 |
| enderzoo:owl.hootDouble                              |   1232 |
| enderzoo:owl.hootSingle                              |   1231 |
| enderzoo:owl.hurt                                    |   1233 |
| fairylights:cord.connect                             |    824 |
| fairylights:cord.disconnect                          |    825 |
| fairylights:cord.snap                                |    826 |
| fairylights:cord.stretch                             |    823 |
| fairylights:entity.ladder.break                      |    831 |
| fairylights:entity.ladder.fall                       |    832 |
| fairylights:entity.ladder.hit                        |    833 |
| fairylights:entity.ladder.place                      |    834 |
| fairylights:feature.color_change                     |    828 |
| fairylights:feature.light_turnoff                    |    830 |
| fairylights:feature.light_turnon                     |    829 |
| fairylights:jingle_bell                              |    827 |
| headcrumbs:takeiteasy                                |    835 |
| immersiveengineering:birthdayParty                   |   1008 |
| immersiveengineering:chargeFast                      |   1013 |
| immersiveengineering:chargeSlow                      |   1019 |
| immersiveengineering:crusher                         |   1021 |
| immersiveengineering:dieselGenerator                 |   1010 |
| immersiveengineering:direSwitch                      |   1016 |
| immersiveengineering:metalPressPiston                |   1011 |
| immersiveengineering:metalPressSmash                 |   1015 |
| immersiveengineering:railgunFire                     |   1009 |
| immersiveengineering:revolverFire                    |   1018 |
| immersiveengineering:spark                           |   1012 |
| immersiveengineering:spray                           |   1020 |
| immersiveengineering:spray_fire                      |   1017 |
| immersiveengineering:tesla                           |   1014 |
| ironbackpacks:close_backpack                         |    837 |
| ironbackpacks:open_backpack                          |    836 |
| mca:reaper.block                                     |    842 |
| mca:reaper.death                                     |    841 |
| mca:reaper.idle                                      |    840 |
| mca:reaper.scythe.out                                |    838 |
| mca:reaper.scythe.swing                              |    839 |
| mca:reaper.summon                                    |    843 |
| minecraft:ambient.cave                               |      0 |
| minecraft:block.anvil.break                          |      1 |
| minecraft:block.anvil.destroy                        |      2 |
| minecraft:block.anvil.fall                           |      3 |
| minecraft:block.anvil.hit                            |      4 |
| minecraft:block.anvil.land                           |      5 |
| minecraft:block.anvil.place                          |      6 |
| minecraft:block.anvil.step                           |      7 |
| minecraft:block.anvil.use                            |      8 |
| minecraft:block.brewing_stand.brew                   |      9 |
| minecraft:block.chest.close                          |     10 |
| minecraft:block.chest.locked                         |     11 |
| minecraft:block.chest.open                           |     12 |
| minecraft:block.chorus_flower.death                  |     13 |
| minecraft:block.chorus_flower.grow                   |     14 |
| minecraft:block.cloth.break                          |     15 |
| minecraft:block.cloth.fall                           |     16 |
| minecraft:block.cloth.hit                            |     17 |
| minecraft:block.cloth.place                          |     18 |
| minecraft:block.cloth.step                           |     19 |
| minecraft:block.comparator.click                     |     20 |
| minecraft:block.dispenser.dispense                   |     21 |
| minecraft:block.dispenser.fail                       |     22 |
| minecraft:block.dispenser.launch                     |     23 |
| minecraft:block.enchantment_table.use                |     24 |
| minecraft:block.end_gateway.spawn                    |     25 |
| minecraft:block.enderchest.close                     |     26 |
| minecraft:block.enderchest.open                      |     27 |
| minecraft:block.fence_gate.close                     |     28 |
| minecraft:block.fence_gate.open                      |     29 |
| minecraft:block.fire.ambient                         |     30 |
| minecraft:block.fire.extinguish                      |     31 |
| minecraft:block.furnace.fire_crackle                 |     32 |
| minecraft:block.glass.break                          |     33 |
| minecraft:block.glass.fall                           |     34 |
| minecraft:block.glass.hit                            |     35 |
| minecraft:block.glass.place                          |     36 |
| minecraft:block.glass.step                           |     37 |
| minecraft:block.grass.break                          |     38 |
| minecraft:block.grass.fall                           |     39 |
| minecraft:block.grass.hit                            |     40 |
| minecraft:block.grass.place                          |     41 |
| minecraft:block.grass.step                           |     42 |
| minecraft:block.gravel.break                         |     43 |
| minecraft:block.gravel.fall                          |     44 |
| minecraft:block.gravel.hit                           |     45 |
| minecraft:block.gravel.place                         |     46 |
| minecraft:block.gravel.step                          |     47 |
| minecraft:block.iron_door.close                      |     48 |
| minecraft:block.iron_door.open                       |     49 |
| minecraft:block.iron_trapdoor.close                  |     50 |
| minecraft:block.iron_trapdoor.open                   |     51 |
| minecraft:block.ladder.break                         |     52 |
| minecraft:block.ladder.fall                          |     53 |
| minecraft:block.ladder.hit                           |     54 |
| minecraft:block.ladder.place                         |     55 |
| minecraft:block.ladder.step                          |     56 |
| minecraft:block.lava.ambient                         |     57 |
| minecraft:block.lava.extinguish                      |     58 |
| minecraft:block.lava.pop                             |     59 |
| minecraft:block.lever.click                          |     60 |
| minecraft:block.metal.break                          |     61 |
| minecraft:block.metal.fall                           |     62 |
| minecraft:block.metal.hit                            |     63 |
| minecraft:block.metal.place                          |     64 |
| minecraft:block.metal.step                           |     65 |
| minecraft:block.metal_pressureplate.click_off        |     66 |
| minecraft:block.metal_pressureplate.click_on         |     67 |
| minecraft:block.note.basedrum                        |     68 |
| minecraft:block.note.bass                            |     69 |
| minecraft:block.note.harp                            |     70 |
| minecraft:block.note.hat                             |     71 |
| minecraft:block.note.pling                           |     72 |
| minecraft:block.note.snare                           |     73 |
| minecraft:block.piston.contract                      |     74 |
| minecraft:block.piston.extend                        |     75 |
| minecraft:block.portal.ambient                       |     76 |
| minecraft:block.portal.travel                        |     77 |
| minecraft:block.portal.trigger                       |     78 |
| minecraft:block.redstone_torch.burnout               |     79 |
| minecraft:block.sand.break                           |     80 |
| minecraft:block.sand.fall                            |     81 |
| minecraft:block.sand.hit                             |     82 |
| minecraft:block.sand.place                           |     83 |
| minecraft:block.sand.step                            |     84 |
| minecraft:block.slime.break                          |     85 |
| minecraft:block.slime.fall                           |     86 |
| minecraft:block.slime.hit                            |     87 |
| minecraft:block.slime.place                          |     88 |
| minecraft:block.slime.step                           |     89 |
| minecraft:block.snow.break                           |     90 |
| minecraft:block.snow.fall                            |     91 |
| minecraft:block.snow.hit                             |     92 |
| minecraft:block.snow.place                           |     93 |
| minecraft:block.snow.step                            |     94 |
| minecraft:block.stone.break                          |     95 |
| minecraft:block.stone.fall                           |     96 |
| minecraft:block.stone.hit                            |     97 |
| minecraft:block.stone.place                          |     98 |
| minecraft:block.stone.step                           |     99 |
| minecraft:block.stone_button.click_off               |    100 |
| minecraft:block.stone_button.click_on                |    101 |
| minecraft:block.stone_pressureplate.click_off        |    102 |
| minecraft:block.stone_pressureplate.click_on         |    103 |
| minecraft:block.tripwire.attach                      |    104 |
| minecraft:block.tripwire.click_off                   |    105 |
| minecraft:block.tripwire.click_on                    |    106 |
| minecraft:block.tripwire.detach                      |    107 |
| minecraft:block.water.ambient                        |    108 |
| minecraft:block.waterlily.place                      |    109 |
| minecraft:block.wood.break                           |    110 |
| minecraft:block.wood.fall                            |    111 |
| minecraft:block.wood.hit                             |    112 |
| minecraft:block.wood.place                           |    113 |
| minecraft:block.wood.step                            |    114 |
| minecraft:block.wood_button.click_off                |    115 |
| minecraft:block.wood_button.click_on                 |    116 |
| minecraft:block.wood_pressureplate.click_off         |    117 |
| minecraft:block.wood_pressureplate.click_on          |    118 |
| minecraft:block.wooden_door.close                    |    119 |
| minecraft:block.wooden_door.open                     |    120 |
| minecraft:block.wooden_trapdoor.close                |    121 |
| minecraft:block.wooden_trapdoor.open                 |    122 |
| minecraft:enchant.thorns.hit                         |    123 |
| minecraft:entity.armorstand.break                    |    124 |
| minecraft:entity.armorstand.fall                     |    125 |
| minecraft:entity.armorstand.hit                      |    126 |
| minecraft:entity.armorstand.place                    |    127 |
| minecraft:entity.arrow.hit                           |    128 |
| minecraft:entity.arrow.hit_player                    |    129 |
| minecraft:entity.arrow.shoot                         |    130 |
| minecraft:entity.bat.ambient                         |    131 |
| minecraft:entity.bat.death                           |    132 |
| minecraft:entity.bat.hurt                            |    133 |
| minecraft:entity.bat.loop                            |    134 |
| minecraft:entity.bat.takeoff                         |    135 |
| minecraft:entity.blaze.ambient                       |    136 |
| minecraft:entity.blaze.burn                          |    137 |
| minecraft:entity.blaze.death                         |    138 |
| minecraft:entity.blaze.hurt                          |    139 |
| minecraft:entity.blaze.shoot                         |    140 |
| minecraft:entity.bobber.splash                       |    141 |
| minecraft:entity.bobber.throw                        |    142 |
| minecraft:entity.cat.ambient                         |    143 |
| minecraft:entity.cat.death                           |    144 |
| minecraft:entity.cat.hiss                            |    145 |
| minecraft:entity.cat.hurt                            |    146 |
| minecraft:entity.cat.purr                            |    147 |
| minecraft:entity.cat.purreow                         |    148 |
| minecraft:entity.chicken.ambient                     |    149 |
| minecraft:entity.chicken.death                       |    150 |
| minecraft:entity.chicken.egg                         |    151 |
| minecraft:entity.chicken.hurt                        |    152 |
| minecraft:entity.chicken.step                        |    153 |
| minecraft:entity.cow.ambient                         |    154 |
| minecraft:entity.cow.death                           |    155 |
| minecraft:entity.cow.hurt                            |    156 |
| minecraft:entity.cow.milk                            |    157 |
| minecraft:entity.cow.step                            |    158 |
| minecraft:entity.creeper.death                       |    159 |
| minecraft:entity.creeper.hurt                        |    160 |
| minecraft:entity.creeper.primed                      |    161 |
| minecraft:entity.donkey.ambient                      |    162 |
| minecraft:entity.donkey.angry                        |    163 |
| minecraft:entity.donkey.chest                        |    164 |
| minecraft:entity.donkey.death                        |    165 |
| minecraft:entity.donkey.hurt                         |    166 |
| minecraft:entity.egg.throw                           |    167 |
| minecraft:entity.elder_guardian.ambient              |    168 |
| minecraft:entity.elder_guardian.ambient_land         |    169 |
| minecraft:entity.elder_guardian.curse                |    170 |
| minecraft:entity.elder_guardian.death                |    171 |
| minecraft:entity.elder_guardian.death_land           |    172 |
| minecraft:entity.elder_guardian.hurt                 |    173 |
| minecraft:entity.elder_guardian.hurt_land            |    174 |
| minecraft:entity.enderdragon.ambient                 |    175 |
| minecraft:entity.enderdragon.death                   |    176 |
| minecraft:entity.enderdragon.flap                    |    177 |
| minecraft:entity.enderdragon.growl                   |    178 |
| minecraft:entity.enderdragon.hurt                    |    179 |
| minecraft:entity.enderdragon.shoot                   |    180 |
| minecraft:entity.enderdragon_fireball.explode        |    181 |
| minecraft:entity.endereye.launch                     |    182 |
| minecraft:entity.endermen.ambient                    |    183 |
